Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
franke and the knockouts,0,0,1,0,0,0,1,sweetheart,male,
frankie j,0,0,0,0,2,0,2,"dont wanna try, obsession no es amor",male,American_male_singer-songwriters
frankie valli,1,3,0,0,0,0,4,"cant take my eyes off you, my eyes adored you, swearin to god, grease",male,American_male_pop_singers
freak nasty,0,0,0,1,0,0,1,da dip,male,African-American_male_rappers
freda payne,0,2,0,0,0,0,2,"band of gold, bring the boys home",female,African-American_female_singers
freddie and the dreamers,1,0,0,0,0,0,1,im telling you now,,
freddie hart,0,1,0,0,0,0,1,easy loving,male,American_country_singers
freddy fender,0,2,0,0,0,0,2,"before the next teardrop falls, wasted days and wasted nights",male,American_country_singers
free,0,1,0,0,0,0,1,all right now,,
frida,0,0,1,0,0,0,1,i know theres something going on,,
friend  lover,1,0,0,0,0,0,1,reach out of the darkness,,
frijid pink,0,1,0,0,0,0,1,the house of the rising sun,,
fuel,0,0,0,0,1,0,1,hemorrhage in my hands,,
fun,0,0,0,0,0,4,4,"we are young, some nights, some nights, carry on",,
gabrielle,0,0,0,1,0,0,1,dreams,female,English_female_pop_singers
gallery,0,1,0,0,0,0,1,nice to be with you,male,
gary lewis  the playboys,4,0,0,0,0,0,4,"this diamond ring, save your heart for me, count me in, shes just my style",male,
gary lewis and the playboys,1,0,0,0,0,0,1,sealed with a kiss,,
gary numan,0,0,1,0,0,0,1,cars,male,English_male_singer-songwriters
gary puckett  the union gap,5,0,0,0,0,0,5,"young girl, lady willpower, over you, woman woman, this girl is a woman now",,
gary us bonds,0,0,1,0,0,0,1,this little girl,,
gary wright,0,2,1,0,0,0,3,"love is alive, dream weaver, really wanna know you",male,American_male_singers
gavin degraw,0,0,0,0,3,1,4,"i dont want to be, chariot, in love with a girl, not over you",male,American_male_guitarists
gavin rossdale,0,0,0,0,1,0,1,love remains the same,male,English_male_singers
gene  debbe,1,0,0,0,0,0,1,playboy,,
gene chandler,0,1,0,0,0,0,1,groovy situation,male,African-American_male_singers
general public,0,0,0,1,0,0,1,ill take you there,,
genesis,0,0,7,3,0,0,10,"misunderstanding, thats all, invisible touch, throwing it all away, land of confusion, in too deep, tonight tonight tonight, i cant dance, hold on my heart, no son of mine",,
george benson,0,2,2,0,0,0,4,"this masquerade, on broadway, give me the night, turn your love around",male,American_male_guitarists
george duke  stanley clarke,0,0,1,0,0,0,1,sweet baby,,
george ezra,0,0,0,0,0,1,1,budapest,male,English_male_singer-songwriters
george harrison,0,2,2,0,0,0,4,"my sweet lord, give me love give me peace on earth, all those years ago, got my mind set on you",male,English_male_singer-songwriters
george mccrae,0,1,0,0,0,0,1,rock your baby,male,American_male_singers
george michael,0,0,7,4,0,0,11,"a different corner, i want your sex, faith, one more try, father figure, monkey, kissing a fool, praying for time, freedom 90, too funky, fastlove",male,English_male_singers
george michael and elton john,0,0,0,1,0,0,1,dont let the sun go down on me,,
george strait,0,0,0,1,2,0,3,"write this down, the best day, living and living well",male,American_country_singers
georgia satellites,0,0,1,0,0,0,1,keep your hands to yourself,,
georgie fame,1,0,0,0,0,0,1,the ballad of bonnie and clyde,male,English_male_singers
gerald levert,0,0,0,1,0,0,1,thinkin bout it,male,American_male_singers
gerardo,0,0,0,1,0,0,1,rico suave,,
gerry and the pacemakers,1,0,0,0,0,0,1,ferry cross the mersey,,
gerry rafferty,0,1,0,0,0,0,1,baker street,male,Male_guitarists
ghost town djs,0,0,0,1,0,0,1,my boo,,
gilbert osullivan,0,3,0,0,0,0,3,"alone again naturally, get down, clair",,
gin blossoms,0,0,0,3,0,0,3,"hey jealousy, found out about you, follow you down  til i hear it from you",male,
gina g,0,0,0,1,0,0,1,ooh aah just a little bit,female,Australian_female_pop_singers
gino vannelli,0,1,1,0,0,0,2,"i just wanna stop, living inside myself",male,Canadian_male_singers
ginuwine,0,0,0,3,4,0,7,"pony, pony, so anxious, differences, differences, in those jeans, hell yeah",male,African-American_male_singers
gladys knight  the pips,0,7,0,0,0,0,7,"if i were your woman, neither one of us wants to be the first to say goodbye, midnight train to georgia, best thing that ever happened to me, ive got to use my imagination, on and on, the way we weretry to remember",,
glass tiger,0,0,2,0,0,0,2,"dont forget me when im gone, someday",,
glen campbell,1,4,0,0,0,0,5,"galveston, its only make believe, rhinestone cowboy, country boy you got your feet in la, southern nights",male,American_country_singers
glenn frey,0,0,2,0,0,0,2,"the heat is on, you belong to the city",male,American_male_guitarists
glenn medeiros,0,0,1,0,0,0,1,nothings gonna change my love for you,male,American_male_singers
glenn medeiros and bobby brown,0,0,0,1,0,0,1,she aint worth it,,
glenn yarbrough,1,0,0,0,0,0,1,baby the rain must fall,male,American_male_singers
gloria estefan,0,0,1,3,0,0,4,"dont wanna lose you, here we are, coming out of the dark, turn the beat around",female,American_female_pop_singers
gloria estefan and miami sound machine,0,0,4,0,0,0,4,"rhythm is gonna get you, anything for you, 123, cant stay away from you",both,
gloria gaynor,0,2,0,0,0,0,2,"never can say goodbye, i will survive",female,American_female_singers
gloria loring and carl anderson,0,0,1,0,0,0,1,friends and lovers,,
gnarls barkley,0,0,0,0,1,0,1,crazy,male ,
go west,0,0,0,2,0,0,2,"king of wishful thinking, faithful",,
golden earring,0,1,1,0,0,0,2,"radar love, twilight zone",,
goo goo dolls,0,0,0,4,2,0,6,"name, slide, black balloon, iris, broadway, here is gone",,
gordon lightfoot,0,2,0,0,0,0,2,"if you could read my mind, sundown",male,Canadian_male_singers
gorillaz,0,0,0,0,2,0,2,"feel good inc, feel good inc",,
gotye,0,0,0,0,0,1,1,somebody that i used to know,male,Australian_male_singers
gq,0,2,0,0,0,0,2,"disco nights rockfreak, i do love you",,
grand funk,0,1,0,0,0,0,1,bad time,,
grand funk railroad,0,3,0,0,0,0,3,"were an american band, the locomotion, some kind of wonderful",male,
great white,0,0,1,0,0,0,1,once bitten twice shy,,
green day,0,0,0,0,4,0,4,"boulevard of broken dreams, holiday, wake me up when september ends, 21 guns",,
"green jell""y",0,0,0,1,0,0,1,three little pigs,,
greg guidry,0,0,1,0,0,0,1,goin down,male,
gregory abbott,0,0,1,0,0,0,1,shake you down,male,African-American_male_singers
gretchen wilson,0,0,0,0,1,0,1,redneck woman,female,American_female_country_singers
groove theory,0,0,0,2,0,0,2,"tell me, tell me",both,
grover washington jr  bill withers,0,0,1,0,0,0,1,just the two of us,male,
gunit,0,0,0,0,1,0,1,wanna get to know you,male,
guns n roses,0,0,4,1,0,0,5,"sweet child o mine, patience, welcome to the jungle, paradise city, november rain",,
gwen stefani,0,0,0,0,5,0,5,"hollaback girl, rich girl, cool, the sweet escape, wind it up",female,American_female_pop_singers
gym class heroes,0,0,0,0,1,3,4,"cupids chokehold, stereo hearts, ass back home, stereo hearts",,
haddaway,0,0,0,2,0,0,2,"what is love, what is love",male,
hall  oates,0,3,4,0,0,0,7,"sara smile, shes gone, rich girl, wait for me, kiss on my list, you make my dreams, youve lost that lovin feelin",,
hamilton joe frank  reynolds,0,2,0,0,0,0,2,"dont pull your love, fallin in love",,
hammer,0,0,0,2,0,0,2,"2 legit 2 quit, addams groove",,
hanson,0,0,0,2,0,0,2,"mmmbop, i will come to you",male,
harold faltermeyer,0,0,1,0,0,0,1,axel f,,
harold melvin  the blue notes,0,1,0,0,0,0,1,wake up everybody,,
harry chapin,0,2,0,0,0,0,2,"taxi, cats in the cradle",male,American_male_guitarists
harry nilsson,1,2,0,0,0,0,3,"everybodys talkin, without you, coconut",male,American_male_guitarists
havana brown,0,0,0,0,0,1,1,we run the night,female,Australian_female_pop_singers
heart,0,1,6,1,0,0,8,"barracuda, tell it like it is, what about love, never, these dreams, alone, who will you run to, all i wanna do is make love to you",female,
heatwave,0,3,0,0,0,0,3,"boogie nights, the groove line, always and forever",,
heavy d,0,0,0,1,0,0,1,big daddy,male,African-American_male_rappers
heavy d  the boyz,0,0,0,2,0,0,2,"now that we found love, got me waiting",,
helen reddy,0,7,0,0,0,0,7,"i dont know how to love him, delta dawn, peaceful, you and me against the world, leave me alone ruby red dress, angie baby, youre my world",female,American_female_pop_singers
hellogoodbye,0,0,0,0,1,0,1,here in your arms,,
henry gross,0,1,0,0,0,0,1,shannon,male,American_male_singer-songwriters
henry mancini,1,0,0,0,0,0,1,love theme from romeo and juliet,,
herb alpert,1,1,2,0,0,0,4,"this guys in love with you, rise, rise, diamonds",,
herb alpert and the tijuana brass,1,0,0,0,0,0,1,zorba the greek,,
hermans hermits,7,0,0,0,0,0,7,"cant you hear my heart beat, mrs brown youve got a lovely daughter, silhouettes, im henery the eighth i am, wonderful world, dandy, theres a kind of hush",,
hifive,0,0,0,3,0,0,3,"i like the way the kissing game, i cant wait another minute, shes playing hard to get",,
high inergy,0,1,0,0,0,0,1,you cant turn me off in the middle of turning me on,,
hinder,0,0,0,0,3,0,3,"lips of an angel, lips of an angel, better than me",,
honey cone,0,1,0,0,0,0,1,want ads,female,
hoobastank,0,0,0,0,1,0,1,the reason,,
hootie  the blowfish,0,0,0,6,0,0,6,"hold my hand, let her cry, only wanna be with you, time, old man and me when i get to heaven, only wanna be with you",,
horst jankowski,1,0,0,0,0,0,1,a walk in the black forest,male,
hot,0,1,0,0,0,0,1,angel in your arms,,
hot butter,0,1,0,0,0,0,1,popcorn,,
hot chelle rae,0,0,0,0,0,1,1,tonight tonight,,
hot chocolate,0,2,0,0,0,0,2,"you sexy thing, every 1s a winner",,
house of pain,0,0,0,1,0,0,1,jump around,male,
houston,0,0,0,0,1,0,1,i like that,male,African-American_male_singers
howard jones,0,0,2,0,0,0,2,"things can only get better, no one is to blame",male,African-American_male_singers
howie day,0,0,0,0,1,0,1,collide,male,American_male_guitarists
hozier,0,0,0,0,0,1,1,take me to church,male,
htown,0,0,0,1,0,0,1,knockin da boots,,
huey,0,0,0,0,1,0,1,pop lock  drop it,male,African-American_male_rappers
huey lewis and the news,0,0,10,0,0,0,10,"do you believe in love, the heart of rock  roll, i want a new drug, if this is it, the power of love, stuck with you, jacobs ladder, hip to be square, doing it all for my baby, perfect world",,
hugh masekela,1,0,0,0,0,0,1,grazing in the grass,,
hugo montenegro,1,0,0,0,0,0,1,the good the bad and the ugly,,
hunter hayes,0,0,0,0,0,3,3,"wanted, i want crazy, wanted",male,American_country_singers
hurricane chris,0,0,0,0,1,0,1,a bay bay,male,African-American_male_rappers
hurricane smith,0,1,0,0,0,0,1,oh babe what would you say,,
ian matthews,0,1,0,0,0,0,1,shake it,male,
ian whitcomb,1,0,0,0,0,0,1,you turn me on,male,English_male_singers
ice cube,0,0,0,3,0,0,3,"it was a good day, check yo self, bop gun one nation",male,African-American_male_rappers
icehouse,0,0,1,0,0,0,1,electric blue,,
icona pop,0,0,0,0,0,1,1,i love it,,
idina menzel,0,0,0,0,0,1,1,let it go,female,American_female_singer-songwriters
iggy azalea,0,0,0,0,0,2,2,"fancy, black widow",,
ike  tina turner,0,2,0,0,0,0,2,"i want to take you higher, proud mary",,
ilovemakonnen,0,0,0,0,0,1,1,tuesday,male,African-American_male_rappers
ilovememphis,0,0,0,0,0,1,1,hit the quan,male,African-American_male_rappers
imagine dragons,0,0,0,0,0,6,6,"its time, radioactive, its time, demons, demons, radioactive",,
immature,0,0,0,2,0,0,2,"never lie, constantly",male,
incubus,0,0,0,0,1,0,1,drive,,
information society,0,0,1,0,0,0,1,whats on your mind pure energy,,
ini kamoze,0,0,0,2,0,0,2,"here comes the hotstepper, here comes the hotstepper",,
inner circle,0,0,0,2,0,0,2,"bad boys, sweat a la la la la long",male,
inoj,0,0,0,2,0,0,2,"time after time, love you down",,
instant funk,0,1,0,0,0,0,1,i got my mind made up you can get it girl,,
inxs,0,0,5,1,0,0,6,"what you need, need you tonight, devil inside, new sensation, never tear us apart, disappear",,
irene cara,0,0,3,0,0,0,3,"fame, flashdance what a feeling, breakdance",female,American_female_country_singers
isaac hayes,0,1,1,0,0,0,2,"theme from shaft, dont let go",male,African-American_male_singers
iyaz,0,0,0,0,1,1,2,"replay, replay",,
j cole,0,0,0,0,0,2,2,"work out, power trip",,
j holiday,0,0,0,0,2,0,2,"bed, suffocate",,
ja rule,0,0,0,0,7,0,7,"put it on me, livin it up, always on time, down 4 u, livin it up, mesmerize, wonderful",male,African-American_male_rappers
jack jones,1,0,0,0,0,0,1,the race is on,male,American_crooners
jack wagner,0,0,1,0,0,0,1,all i need,male,American_male_singers
jackie deshannon,2,0,0,0,0,0,2,"what the world needs now is love, put a little love in your heart",female,American_female_rock_singers
jackie wilson,1,0,0,0,0,0,1,your love keeps lifting me higher and higher,male,African-American_male_singers
jackson browne,0,2,2,0,0,0,4,"doctor my eyes, running on empty, somebodys baby, lawyers in love",male,American_male_guitarists
jadakiss,0,0,0,0,1,0,1,why,male,African-American_male_rappers
jade,0,0,0,4,0,0,4,"i wanna love you, dont walk away, one woman, every day of the week",,
jagged edge,0,0,0,0,5,0,5,"lets get married, he cant love u, where the party at, promise, walked outta heaven",,
jaheim,0,0,0,0,2,0,2,"anything, put that woman first",male,African-American_male_singers
jake owen,0,0,0,0,0,2,2,"barefoot blue jean night, beachin",male,American_country_singers
james  bobby purify,1,0,0,0,0,0,1,im your puppet,,
james blunt,0,0,0,0,1,0,1,youre beautiful,male,English_male_singers
james brown,5,1,1,0,0,0,7,"papas got a brand new bag, cold sweat, i got the feelin, say it loud  im black and im proud, mother popcorn, get on the good foot, living in america",male,African-American_male_singers
james ingram,0,0,0,1,0,0,1,i dont have the heart,male,African-American_male_singers
james ingram and michael mcdonald,0,0,1,0,0,0,1,yah mo b there,,
james newton howard,0,0,0,0,0,1,1,the hanging tree,male,
james taylor,0,4,0,0,0,0,4,"fire and rain, youve got a friend, how sweet it is to be loved by you, handy man",male,American_male_guitarists
jamie foxx,0,0,0,0,2,0,2,"unpredictable, blame it",male,African-American_male_rappers
jamie walters,0,0,0,1,0,0,1,hold on,male,American_male_singers
jan hammer,0,0,1,0,0,0,1,miami vice theme,,
jane child,0,0,0,1,0,0,1,dont wanna fall in love,female,Canadian_female_pop_singers
janet,0,0,0,1,2,0,3,"together again, all for you, someone to call my lover",female,
janet jackson,0,0,6,16,1,0,23,"when i think of you, what have you done for me lately, nasty, control, lets wait awhile, miss you much, escapade, rhythm nation, alright, come back to me, black cat, love will never do without you, thats the way love goes, if, again, again, any time any place, because of love, runaway, you want this, runaway, i get lonely, doesnt really matter",female,African-American_female_singer-songwriters
janis ian,1,1,0,0,0,0,2,"societys child, at seventeen",female,American_female_guitarists
janis joplin,0,1,0,0,0,0,1,me and bobby mcgee,female,American_female_rock_singers
jann arden,0,0,0,1,0,0,1,insensitive,female,Canadian_female_pop_singers
jason aldean,0,0,0,0,1,5,6,"big green tractor, dirt road anthem, dont you wanna stay, take a little ride, fly over states, burnin it down",male,American_country_singers
"jason der""ulo",0,0,0,0,0,3,3,"in my head, ridin solo, whatcha say",,
jason derulo,0,0,0,0,1,6,7,"whatcha say, dont wanna go home, the other side, talk dirty, wiggle, trumpets, want to want me",male,American_male_pop_singers
jason mraz,0,0,0,0,3,1,4,"the remedy i wont worry, im yours, im yours, i wont give up",male,American_male_guitarists
jay  the techniques,1,0,0,0,0,0,1,apples peaches pumpkin pie,,
jay and the americans,2,0,0,0,0,0,2,"cara mia, this magic moment",,
jay ferguson,0,1,0,0,0,0,1,thunder island,male,American_male_singers
jay sean,0,0,0,0,1,2,3,"down, down, do you remember",,
jay z,0,0,0,0,0,1,1,holy grail,male,African-American_male_rappers
jayz,0,0,0,2,8,1,11,"can i get a, hard knock life ghetto anthem, big pimpin, izzo hova, i just wanna love u give it 2 me, 03 bonnie  clyde, excuse me miss, dirt off your shoulder, change clothes, run this town, young forever",,
jayz and alicia keys,0,0,0,0,1,1,2,"empire state of mind, empire state of mind",,
jayz and kanye west,0,0,0,0,0,1,1,niggas in paris,,
jayz and linkin park,0,0,0,0,1,0,1,numbencore,,
jd souther,0,0,1,0,0,0,1,youre only lonely,male,
jean knight,0,1,0,0,0,0,1,mr big stuff,female,American_female_singers
jeannie c riley,1,0,0,0,0,0,1,harper valley pta,,
jefferson airplane,2,0,0,0,0,0,2,"somebody to love, white rabbit",male,
jefferson starship,0,2,0,0,0,0,2,"with your love, count on me",,
jennifer lopez,0,0,0,1,9,1,11,"if you had my love, waiting for tonight, im real, love dont cost a thing, play, aint it funny, im gonna be alright, all i have, jenny from the block, get right, on the floor",female,American_female_pop_singers
jennifer paige,0,0,0,1,0,0,1,crush,female,American_female_singers
jennifer warnes,0,1,0,0,0,0,1,right time of the night,female,American_female_country_singers
jeremih,0,0,0,0,1,2,3,"birthday sex, down on me, dont tell em",male,African-American_male_singers
jeremy jordan,0,0,0,1,0,0,1,the right kind of love,male,American_male_singers
jermaine dupri,0,0,0,1,0,0,1,the party continues,male,African-American_male_rappers
jermaine jackson,0,1,2,0,0,0,3,"daddys home, lets get serious, do what you do",male,American_male_guitarists
jermaine stewart,0,0,1,0,0,0,1,we dont have to take our clothes off,male,American_male_singer-songwriters
jerrod niemann,0,0,0,0,0,1,1,lover lover,male,American_country_singers
jerry butler,3,0,0,0,0,0,3,"hey western union man, never give you up, only the strong survive",,
jerry butler  brenda lee eager,0,1,0,0,0,0,1,aint understanding mellow,both,
jerry reed,0,2,0,0,0,0,2,"amos moses, when youre hot youre hot",male,American_country_singers
jesse mccartney,0,0,0,0,3,0,3,"beautiful soul, leavin, how do you sleep",male,American_male_singer-songwriters
jesse powell,0,0,0,1,0,0,1,you,male,American_male_singers
jessi colter,0,1,0,0,0,0,1,im not lisa,female,American_female_country_singers
jessica andrews,0,0,0,0,1,0,1,who i am,female,American_female_country_singers
jessica simpson,0,0,0,0,3,0,3,"i wanna love you forever, irresistible, with you",female,American_female_country_singers
jessie j,0,0,0,0,0,2,2,"price tag, domino",female,English_female_pop_singers
jessie j ariana grande and nicki minaj,0,0,0,0,0,2,2,"bang bang, bang bang",,
jesus jones,0,0,0,2,0,0,2,"right here right now, real real real",,
jet,0,0,0,0,1,0,1,are you gonna be my girl,male,
jethro tull,0,1,0,0,0,0,1,bungle in the jungle,,
jewel,0,0,0,4,2,0,6,"who will save your soul, foolish games  you were meant for me, foolish games  you were meant for me, hands, standing still, intuition",female,American_female_country_singers
jewel akens,1,0,0,0,0,0,1,the birds and the bees,male,American_male_singers
jibbs,0,0,0,0,1,0,1,chain hang low,male,African-American_male_rappers
jidenna,0,0,0,0,0,1,1,classic man,male,African-American_male_singers
jim croce,0,4,0,0,0,0,4,"you dont mess around with jim, bad bad leroy brown, time in a bottle, ill have to say i love you in a song",male,American_male_guitarists
jim jones,0,0,0,0,2,0,2,"we fly high, pop champagne",male,African-American_male_rappers
jim stafford,0,3,0,0,0,0,3,"spiders and snakes, my girl bill, wildwood weed",male,American_male_singer-songwriters
jimmy buffett,0,1,0,0,0,0,1,margaritaville,male,American_country_singers
jimmy castor bunch,0,1,0,0,0,0,1,troglodyte cave man,,
jimmy cliff,0,0,0,1,0,0,1,i can see clearly now,,
jimmy eat world,0,0,0,0,1,0,1,the middle,,
jimmy ray,0,0,0,1,0,0,1,are you jimmy ray,male,English_male_singers
jimmy ruffin,1,0,0,0,0,0,1,what becomes of the brokenhearted,male,African-American_male_singers
jive bunny and the mastermixers,0,0,0,1,0,0,1,swing the mood,,
jkwon,0,0,0,0,1,0,1,tipsy,male,
jo dee messina,0,0,0,1,1,0,2,"a lesson in leavin, thats the way",female,American_female_country_singers
joan baez,0,1,0,0,0,0,1,the night they drove old dixie down,female,American_female_country_singers
joan jett  the blackhearts,0,0,1,0,0,0,1,crimson and clover,both,
joan jett and the blackhearts,0,0,2,0,0,0,2,"i love rock n roll, i hate myself for loving you",,
joan osborne,0,0,0,1,0,0,1,one of us,female,American_female_country_singers
jodeci,0,0,0,4,0,0,4,"come and talk to me, lately, cry for you, freekn you",,
jody watley,0,0,3,1,0,0,4,"looking for a new love, dont you want me, real love, everything",female,African-American_female_singer-songwriters
joe,0,0,0,2,2,0,4,"all the things your man wont do, dont wanna be a player, i wanna know, stutter",male,African-American_male_singers
joe cocker,0,2,0,0,0,0,2,"the letter, you are so beautiful",male,English_male_singers
joe cocker and jennifer warnes,0,0,1,0,0,0,1,up where we belong,,
joe jackson,0,0,2,0,0,0,2,"steppin out, breaking us in two",male,American_male_guitarists
joe public,0,0,0,1,0,0,1,live and learn,male,
joe simon,1,3,0,0,0,0,4,"the chokin kind, drowning in the sea of love, power of love, get down get down get on the floor",male,American_male_singers
joe south,1,1,0,0,0,0,2,"games people play, walk a mile in my shoes",male,American_male_guitarists
joe tex,1,2,0,0,0,0,3,"hold what youve got, i gotcha, aint gonna bump no more with no big fat woman",male,African-American_male_singers
joe walsh,0,1,1,0,0,0,2,"lifes been good, all night long",male,American_male_guitarists
joey lawrence,0,0,0,1,0,0,1,nothin my love cant fix,male,American_male_singer-songwriters
joey mcintyre,0,0,0,1,0,0,1,stay the same,male,American_male_singers
joey scarbury,0,0,1,0,0,0,1,theme from the greatest american hero believe it or not,male,American_male_singers
john cafferty  the beaver brown band,0,0,1,0,0,0,1,on the dark side,,
john cougar,0,0,3,0,0,0,3,"aint even done with the night, jack  diane, hurts so good",,
john cougar mellencamp,0,0,5,0,0,0,5,"pink houses, lonely ol night, rock in the usa, small town, cherry bomb",,
john denver,0,6,0,0,0,0,6,"take me home country roads, rocky mountain high, sunshine on my shoulders, annies song, thank god im a country boy, im sorry",male,American_country_singers
john fred  his playboy band,1,0,0,0,0,0,1,judy in disguise with glasses,,
john legend,0,0,0,0,2,1,3,"ordinary people, green light, all of me",male,American_male_singer-songwriters
john lennon,0,1,4,0,0,0,5,"instant karma, just like starting over, woman, watching the wheels, nobody told me",male,English_male_singer-songwriters
john mayer,0,0,0,0,6,0,6,"no such thing, your body is a wonderland, daughters, waiting on the world to change, waiting on the world to change, say",male,American_male_guitarists
john mellencamp,0,0,0,2,0,0,2,"wild night, key west intermezzo i saw you first",male,American_male_singers
john michael montgomery,0,0,0,0,1,0,1,letters from home,male,American_country_singers
john parr,0,0,1,0,0,0,1,st elmos fire man in motion,male,English_male_singers
john paul young,0,1,0,0,0,0,1,love is in the air,male,Australian_male_singers
john schneider,0,0,1,0,0,0,1,its now or never,male,American_male_guitarists
john sebastian,0,1,0,0,0,0,1,welcome back,male,American_male_guitarists
john stewart,0,1,0,0,0,0,1,gold,male,American_male_singer-songwriters
john travolta,0,1,0,0,0,0,1,let her in,male,American_male_singers
john travolta  olivia newtonjohn,0,2,0,0,0,0,2,"youre the one that i want, summer nights",,
john waite,0,0,1,0,0,0,1,missing you,male,English_male_singers
johnnie taylor,0,2,0,0,0,0,2,"i believe in you you believe in me, disco lady",male,American_male_singers
johnny bristol,0,1,0,0,0,0,1,hang on in there baby,male,American_male_singers
johnny cash,1,0,0,0,0,0,1,a boy named sue,male,American_country_singers
johnny gill,0,0,0,1,0,0,1,rub you the right way,,
johnny hates jazz,0,0,1,0,0,0,1,shattered dreams,,
johnny maestro  the brooklyn bridge,1,0,0,0,0,0,1,the worst that could happen,,
johnny mathis  deniece williams,0,1,0,0,0,0,1,too much too little too late,both,
johnny nash,1,2,0,0,0,0,3,"hold me tight, i can see clearly now, stir it up",,
johnny rivers,4,2,0,0,0,0,6,"the seventh son, poor side of town, secret agent man, baby i need your lovin, rockin pneumonia and the boogie woogie flu, swayin to the music slow dancing",male,American_male_guitarists
jojo,0,0,0,0,2,0,2,"leave get out, too little too late",female,American_female_pop_singers
jon b,0,0,0,2,0,0,2,"someone to love, they dont know",,
jon bon jovi,0,0,0,1,0,0,1,blaze of glory,male,American_male_guitarists
jon secada,0,0,0,4,0,0,4,"just another day, do you believe in us, angel, if you go",male,Male_songwriters
jonas brothers,0,0,0,0,1,0,1,burnin up,,
jonathan edwards,0,1,0,0,0,0,1,sunshine,male,American_country_singers
joni mitchell,0,1,0,0,0,0,1,help me,female,Canadian_female_pop_singers
jordan knight,0,0,0,1,0,0,1,give it to you,male,American_male_singer-songwriters
jordin sparks,0,0,0,0,3,0,3,"tattoo, one step at a time, battlefield",female,African-American_female_singer-songwriters
jordin sparks and chris brown,0,0,0,0,1,0,1,no air,,
jose feliciano,1,0,0,0,0,0,1,light my fire,,
joshua kadison,0,0,0,1,0,0,1,beautiful in my eyes,male,American_male_singer-songwriters
journey,0,0,5,1,0,0,6,"whos crying now, open arms, dont stop believin, separate ways worlds apart, faithfully, when you love a woman",male,
jr walker  the all stars,1,0,0,0,0,0,1,what does it take to win your love,,
jt money,0,0,0,1,0,0,1,who dat,,
jud strunk,0,1,0,0,0,0,1,daisy a day,male,American_country_singers
judy collins,0,1,0,0,0,0,1,amazing grace,female,American_female_guitarists
juelz santana,0,0,0,0,1,0,1,there it go the whistle song,male,African-American_male_rappers
juice newton,0,0,4,0,0,0,4,"queen of hearts, angel of the morning, the sweetest thing ive ever known, loves been a little bit hard on me",female,American_female_country_singers
julian lennon,0,0,2,0,0,0,2,"too late for goodbyes, valotte",male,English_male_singers
julio iglesias and willie nelson,0,0,1,0,0,0,1,to all the girls ive loved before,,
junior mafia,0,0,0,2,0,0,2,"players anthem, get money",male,
junior walker  the all stars,1,0,0,0,0,0,1,shotgun,,
justin bieber,0,0,0,0,1,5,6,"one time, baby, boyfriend, as long as you love me, beauty and a beat, what do you mean",male,Canadian_male_singers
justin timberlake,0,0,0,0,10,3,13,"like i love you, cry me a river, rock your body, sexyback, my love, what goes around comes around, my love, summer love, sexyback, lovestoned, mirrors, suit  tie, not a bad thing",male,American_male_pop_singers
juvenile,0,0,0,1,1,0,2,"back that azz up, slow motion",male,African-American_male_rappers
k p  envyi,0,0,0,1,0,0,1,swing my way,female,
kajagoogoo,0,0,1,0,0,0,1,too shy,,
kandi,0,0,0,0,1,0,1,dont think im not,,
kansas,0,2,0,0,0,0,2,"carry on wayward son, dust in the wind",,
kanye west,0,0,0,0,11,1,12,"jesus walks, all falls down, through the wire, gold digger, gold digger, stronger, love lockdown, good life, flashing lights, heartless, love lockdown, all of the lights",male,African-American_male_rappers
kanye west big sean pusha t and 2 chainz,0,0,0,0,0,1,1,mercy,,
kardinal offishall,0,0,0,0,1,0,1,dangerous,,
karla bonoff,0,0,1,0,0,0,1,personally,female,American_female_singer-songwriters
karmin,0,0,0,0,0,1,1,brokenhearted,,
karyn white,0,0,2,2,0,0,4,"the way you love me, secret rendezvous, romantic, the way i feel about you",female,American_female_singers
kathy troccoli,0,0,0,1,0,0,1,everything changes,female,American_female_singers
katrina and the waves,0,0,1,0,0,0,1,walking on sunshine,female,
katy perry,0,0,0,0,4,13,17,"i kissed a girl, hot n cold, hot n cold, waking up in vegas, california gurls, teenage dream, firework, et, last friday night tgif, teenage dream, wide awake, part of me, the one that got away, roar, dark horse, roar, birthday",female,American_female_guitarists
kc  the sunshine band,0,0,1,0,0,0,1,give it up,,
kc and the sunshine band,0,5,1,0,0,0,6,"get down tonight, shake shake shake shake your booty, thats the way i like it, im your boogie man, keep it comin love, please dont go",,
kci  jojo,0,0,0,2,1,0,3,"all my life, tell me its real, crazy",,
keha,0,0,0,0,0,7,7,"tik tok, your love is my drug, blah blah blah, take it off, we r who we r, blow, die young",,
keith,1,0,0,0,0,0,1,986,male,American_male_singers
keith carradine,0,1,0,0,0,0,1,im easy,,
keith sweat,0,0,1,7,0,0,8,"i want her, make you sweat, ill give all my love to you, keep it comin, twisted, nobody, nobody, twisted",male,American_male_singers
keith urban,0,0,0,0,1,0,1,youll think of me,male,Male_guitarists
kelis,0,0,0,0,2,0,2,"milkshake, bossy",female,African-American_female_singer-songwriters
