,1960,1970,1980,1990,2000,2010,
supertramp,0,2,1,0,0,0,"give a little bit, the logical song, take the long way home"
jamie foxx featuring tpain,0,0,0,0,1,0,blame it
extreme,0,0,0,2,0,0,"more than words, hole hearted"
tim mcgraw and faith hill,0,0,0,1,0,0,its your love
janet,0,0,0,1,2,0,"together again, all for you, someone to call my lover"
focus,0,1,0,0,0,0,hocus pocus
rick ross featuring tpain,0,0,0,0,1,0,the boss
ilovemakonnen featuring drake,0,0,0,0,0,1,tuesday
klymaxx,0,0,1,0,0,0,i miss you
justin bieber featuring nicki minaj,0,0,0,0,0,1,beauty and a beat
d4l,0,0,0,0,1,0,laffy taffy
ronnie milsap,0,1,3,0,0,0,"it was almost like a song, theres no gettin over me, smoky mountain rain, any day now"
hifive,0,0,0,3,0,0,"i like the way the kissing game, i cant wait another minute, shes playing hard to get"
en vogue,0,0,0,6,0,0,"hold on, my lovin youre never gonna get it, giving him something he can feel, free your mind, give it up turn it loose, dont let go love"
the kingsmen,1,0,0,0,0,0,the jolly green giant
dht featuring edmee,0,0,0,0,1,0,listen to your heart
cah out,0,0,0,0,0,1,cashin out
jordin sparks and chris brown,0,0,0,0,1,0,no air
lovin spoonful,1,0,0,0,0,0,summer in the city
alive n kickin,0,1,0,0,0,0,tighter tighter
karmin,0,0,0,0,0,1,brokenhearted
herb alpert,1,1,2,0,0,0,"this guys in love with you, rise, rise, diamonds"
robert parker,1,0,0,0,0,0,barefootin
rich homie quan,0,0,0,0,0,1,flex ooh ooh ooh
ariana grande featuring zedd,0,0,0,0,0,1,break free
ice cube featuring george clinton,0,0,0,1,0,0,bop gun one nation
thomas rhett,0,0,0,0,0,1,it goes like this
"m""otley cr""ue",0,0,0,1,0,0,without you
james brown,5,1,1,0,0,0,"papas got a brand new bag, cold sweat, i got the feelin, say it loud  im black and im proud, mother popcorn, get on the good foot, living in america"
wyclef jean,0,0,0,1,0,0,gone till november
dream academy,0,0,1,0,0,0,life in a northern town
jimmy castor bunch,0,1,0,0,0,0,troglodyte cave man
sounds orchestral,1,0,0,0,0,0,cast your fate to the wind
kajagoogoo,0,0,1,0,0,0,too shy
dr buzzards original savannah band,0,1,0,0,0,0,cherchez la femme
nelly featuring jaheim,0,0,0,0,1,0,my place
trillville featuring cutty,0,0,0,0,1,0,some cut
kenny rogers,0,3,6,0,0,0,"lucille, the gambler, she believes in me, coward of the county, you decorated my life, lady, i dont need you, love will turn you around, through the years"
mark ronson featuring bruno mars,0,0,0,0,0,1,uptown funk
fat joe featuring lil wayne,0,0,0,0,1,0,make it rain
iggy azalea featuring charli xcx,0,0,0,0,0,1,fancy
white town,0,0,0,1,0,0,your woman
sonny bono,1,0,0,0,0,0,laugh at me
apollo 100,0,1,0,0,0,0,joy
p diddy featuring usher and loon,0,0,0,0,1,0,i need a girl part one
charlie rich,0,3,0,0,0,0,"behind closed doors, the most beautiful girl, a very special love song"
thal'ia featuring fat joe,0,0,0,0,1,0,i want you
sylke fyne featuring chill,0,0,0,1,0,0,romeo and juliet
paul simon,0,5,0,0,0,0,"mother and child reunion, loves me like a rock, kodachrome, 50 ways to leave your lover, slip slidin away"
mary hopkin,1,0,0,0,0,0,those were the days
creedence clearwater revival,4,3,0,0,0,0,"suzie q, proud mary, bad moon rising, green river, lookin out my back door, up around the bend, travelin band"
charlie puth featuring meghan trainor,0,0,0,0,0,1,marvin gaye
chingy featuring jweav,0,0,0,0,1,0,one call away
billy preston and syreeta,0,0,1,0,0,0,with you im born again
lloyd banks,0,0,0,0,1,0,on fire
kevin lyttle,0,0,0,0,1,0,turn me on
thompson twins,0,0,3,0,0,0,"hold me now, lay your hands on me, king for a day"
kelis featuring too short,0,0,0,0,1,0,bossy
bonnie pointer,0,1,0,0,0,0,heaven must have sent you
drake featuring lil wayne,0,0,0,0,0,1,the motto
stephen bishop,0,1,1,0,0,0,"on and on, it might be you"
al green,0,6,0,0,0,0,"tired of being alone, lets stay together, look what you done for me, im still in love with you, here i am come and take me, shalala make me happy"
avant featuring snoop dogg,0,0,0,0,1,0,read your mind
peaches  herb,1,2,1,0,0,0,"close your eyes, reunited, shake your groove thing, i pledge my love"
112 featuring lil zane,0,0,0,1,0,0,anywhere
the delfonics,1,1,0,0,0,0,"lala means i love you, didnt i blow your mind this time"
restless heart,0,0,0,1,0,0,when she cries
rick james,0,1,0,0,0,0,you and i
the osmonds,0,3,0,0,0,0,"one bad apple, yoyo, down by the lazy river"
various artists,0,0,0,1,0,0,the jock jam
the capitols,1,0,0,0,0,0,cool jerk
kenny rogers and sheena easton,0,0,1,0,0,0,weve got tonight
far east movement featuring the cataracs and dev,0,0,0,0,0,2,"like a g6, like a g6"
nelly featuring tim mcgraw,0,0,0,0,2,0,"over and over, over and over"
damn yankees,0,0,0,1,0,0,high enough
elvin bishop,0,1,0,0,0,0,fooled around and fell in love
wham,0,0,4,0,0,0,"wake me up before you gogo, everything she wants, freedom, im your man"
kt tunstall,0,0,0,0,1,0,black horse and the cherry tree
clint holmes,0,1,0,0,0,0,playground in my mind
pebbles,0,0,2,1,0,0,"girlfriend, mercedes boy, giving you the benefit"
inxs,0,0,5,1,0,0,"what you need, need you tonight, devil inside, new sensation, never tear us apart, disappear"
akon featuring snoop dogg,0,0,0,0,1,0,i wanna love you
iggy azalea featuring rita ora,0,0,0,0,0,1,black widow
mountain,0,1,0,0,0,0,mississippi queen
puff daddy featuring r kelly,0,0,0,1,0,0,satisfy you
bon jovi,0,0,7,4,0,0,"you give love a bad name, livin on a prayer, wanted dead or alive, bad medicine, ill be there for you, born to be my baby, lay your hands on me, bed of roses, always, always, this aint a love song"
meat loaf,0,1,0,3,0,0,"two out of three aint bad, id do anything for love but i wont do that, id do anything for love but i wont do that, rock and roll dreams come through"
brownsville station,0,1,0,0,0,0,smokin in the boys room
brenda k starr,0,0,1,0,0,0,i still believe
the troggs,2,0,0,0,0,0,"wild thing, love is all around"
brantley gilbert,0,0,0,0,0,1,bottoms up
uncle sam,0,0,0,1,0,0,i dont ever want to see you again
ace of base,0,0,0,6,0,0,"all that she wants, the sign, all that she wants, dont turn around, beautiful life, cruel summer"
robert john,0,2,0,0,0,0,"the lion sleeps tonight, sad eyes"
john michael montgomery,0,0,0,0,1,0,letters from home
lil romeo,0,0,0,0,1,0,my baby
glenn medeiros,0,0,1,0,0,0,nothings gonna change my love for you
blackstreet,0,0,0,1,0,0,before i let you go
kid rock,0,0,0,0,2,0,"only god knows why, all summer long"
captain  tennille,0,4,1,0,0,0,"love will keep us together, lonely night angel face, shop around, muskrat love, do that to me one more time"
dj sammy featuring yanou and do,0,0,0,0,1,0,heaven
zhane,0,0,0,2,0,0,"hey mr dj, groove thang"
people,1,0,0,0,0,0,i love you
eternal,0,0,0,1,0,0,stay
the blackbyrds,0,1,0,0,0,0,walking in rhythm
justin timberlake featuring timbaland,0,0,0,0,1,0,sexyback
rodney atkins,0,0,0,0,0,1,take a back road
paul mccartney and stevie wonder,0,0,1,0,0,0,ebony and ivory
cassidy featuring r kelly,0,0,0,0,1,0,hotel
the brotherhood of man,0,1,0,0,0,0,united we stand
lil jon featuring e40 and sean paul,0,0,0,0,1,0,snap yo fingers
stories,0,1,0,0,0,0,brother louie
bazuka,0,1,0,0,0,0,dynomite
james  bobby purify,1,0,0,0,0,0,im your puppet
gloria gaynor,0,2,0,0,0,0,"never can say goodbye, i will survive"
kenny loggins,0,0,5,0,0,0,"this is it, heart to heart, footloose, danger zone, meet me half way"
new colony six,1,0,0,0,0,0,things id like to say
roger voudouris,0,1,0,0,0,0,get used to it
luther vandross and mariah carey,0,0,0,1,0,0,endless love
jesse mccartney,0,0,0,0,2,0,"beautiful soul, leavin"
young money featuring lloyd,0,0,0,0,0,1,bedrock
the mccoys,1,0,0,0,0,0,hang on sloopy
fun featuring janelle mon'ae,0,0,0,0,0,1,we are young
t rex,0,1,0,0,0,0,get it on
billy swan,0,1,0,0,0,0,i can help
don henley,0,0,4,0,0,0,"dirty laundry, the boys of summer, all she wants to do is dance, the end of the innocence"
survivor,0,0,5,0,0,0,"eye of the tiger, the search is over, i cant hold back, burning heart, is this love"
jackson browne,0,2,2,0,0,0,"doctor my eyes, running on empty, somebodys baby, lawyers in love"
anita baker,0,0,2,0,0,0,"sweet love, giving you the best that i got"
