,1960,1970,1980,1990,2000,2010,
chris brown,0,0,0,0,4,4,"yo excuse me miss, say goodbye, with you, forever, yeah 3x, she aint you, dont wake me up, turn up the music"
bb king,0,1,0,0,0,0,the thrill is gone
the strangeloves,1,0,0,0,0,0,i want candy
trick daddy featuring ludacris lil kim and cee lo green,0,0,0,0,1,0,sugar gimme some
carl douglas,0,1,0,0,0,0,kung fu fighting
sly  the family stone,3,3,0,0,0,0,"dance to the music, everyday people, hot fun in the summertime, thank you falettinme be mice elf agin, family affair, if you want me to stay"
cher and peter cetera,0,0,1,0,0,0,after all
gnarls barkley,0,0,0,0,1,0,crazy
ratt,0,0,1,0,0,0,round and round
linda ronstadt and james ingram,0,0,1,0,0,0,somewhere out there
3oh3,0,0,0,0,1,0,dont trust me
jr walker  the all stars,1,0,0,0,0,0,what does it take to win your love
k p  envyi,0,0,0,1,0,0,swing my way
rick springfield,0,1,4,0,0,0,"speak to the sky, jessies girl, dont talk to strangers, affair of the heart, love somebody"
alice deejay,0,0,0,0,1,0,better off alone
christina aguilera featuring lil kim,0,0,0,0,1,0,cant hold us down
tara kemp,0,0,0,2,0,0,"hold you tight, piece of my heart"
ame lorain,0,0,0,1,0,0,whole wide world
deep blue something,0,0,0,1,0,0,breakfast at tiffanys
young jeezy featuring kanye west,0,0,0,0,1,0,put on
50 cent featuring justin timberlake and timbaland,0,0,0,0,1,0,ayo technology
gary numan,0,0,1,0,0,0,cars
the floaters,0,1,0,0,0,0,float on
tpain featuring yung joc,0,0,0,0,1,0,buy u a drank shawty snappin
after 7,0,0,0,3,0,0,"ready or not, cant stop, til you do me right"
patti page,1,0,0,0,0,0,hush hush sweet charlotte
travie mccoy featuring bruno mars,0,0,0,0,0,1,billionaire
flo rida featuring sia,0,0,0,0,0,1,wild ones
quad city djs,0,0,0,1,0,0,cmon n ride it the train
paramore,0,0,0,0,0,3,"the only exception, still into you, aint it fun"
1910 fruitgum company,3,0,0,0,0,0,"simon says, 1 2 3 red light, indian giver"
omarion featuring timbaland,0,0,0,0,1,0,ice box
seduction,0,0,0,1,0,0,two to make it right
the knack,0,1,0,0,0,0,my sharona
bodeans,0,0,0,1,0,0,closer to free
juelz santana,0,0,0,0,1,0,there it go the whistle song
tommy page,0,0,0,1,0,0,ill be your everything
culture club,0,0,6,0,0,0,"do you really want to hurt me, time clock of the heart, ill tumble 4 ya, karma chameleon, miss me blind, church of the poison mind"
lil flip,0,0,0,0,1,0,game over flip
franke and the knockouts,0,0,1,0,0,0,sweetheart
leo sayer,0,4,1,0,0,0,"long tall glasses, you make me feel like dancing, when i need you, how much love, more than i can say"
joey scarbury,0,0,1,0,0,0,theme from the greatest american hero believe it or not
kool  the gang,0,2,11,0,0,0,"jungle boogie, hollywood swinging, ladies night, too hot, celebration, get down on it, take my heart you can have it if you want it, joanna, tonight, cherish, misled, fresh, victory"
peter gabriel,0,0,2,0,0,0,"sledgehammer, big time"
rihanna featuring chris brown,0,0,0,0,0,1,birthday cake
tina turner,0,0,5,1,0,0,"whats love got to do with it, we dont need another hero, better be good to me, private dancer, typical male, i dont wanna fight"
ylvis,0,0,0,0,0,1,the fox what does the fox say
cee lo green,0,0,0,0,0,1,fuck you
irene cara,0,0,3,0,0,0,"fame, flashdance what a feeling, breakdance"
the sandpipers,1,1,0,0,0,0,"guantanamera, come saturday morning"
the honeydrippers,0,0,1,0,0,0,sea of love
fort minor featuring holly brook and jonah matranga,0,0,0,0,1,0,whered you go
fergie featuring ludacris,0,0,0,0,1,0,glamorous
keith sweat,0,0,1,6,0,0,"i want her, make you sweat, ill give all my love to you, keep it comin, twisted, nobody, twisted"
ricky martin,0,0,0,2,0,0,"livin la vida loca, shes all i ever had"
the tbones,1,0,0,0,0,0,no matter what shape your stomachs in
bob seger and the silver bullet band,0,0,1,0,0,0,against the wind
the motels,0,0,1,0,0,0,only the lonely
walter egan,0,1,0,0,0,0,magnet and steel
firefall,0,1,0,0,0,0,strange way
will to power,0,0,1,1,0,0,"baby i love your wayfreebird medley, im not in love"
plies featuring akon,0,0,0,0,1,0,hypnotized
marmalade,0,1,0,0,0,0,reflections of my life
asher roth,0,0,0,0,1,0,i love college
brownstone,0,0,0,1,0,0,if you love me
jennifer lopez featuring ja rule,0,0,0,0,2,0,"im real, aint it funny"
rihanna featuring mikky ekko,0,0,0,0,0,1,stay
jason aldean featuring kelly clarkson,0,0,0,0,0,1,dont you wanna stay
adele,0,0,0,0,0,7,"rolling in the deep, someone like you, set fire to the rain, someone like you, rumour has it, rolling in the deep, hello"
musical youth,0,0,1,0,0,0,pass the dutchie
lenny kravitz,0,0,0,2,1,0,"it aint over til its over, fly away, again"
lil kim featuring puff daddy,0,0,0,1,0,0,no time
swing out sister,0,0,1,0,0,0,breakout
n ii u,0,0,0,1,0,0,i miss you
keith sweat featuring athena cage,0,0,0,1,0,0,nobody
candi staton,0,1,0,0,0,0,young hearts run free
rufus  chaka khan,0,1,0,0,0,0,tell me something good
mariah carey featuring miguel,0,0,0,0,0,1,beautiful
another bad creation,0,0,0,1,0,0,iesha
shaggy,0,0,0,1,1,0,"boombastic, angel"
portrait,0,0,0,1,0,0,here we go again
phoebe snow,0,1,0,0,0,0,poetry man
david ruffin,1,1,0,0,0,0,"my whole world ended the moment you left me, walk away from love"
yung joc,0,0,0,0,1,0,i know you see it
brian mcknight featuring mase,0,0,0,1,0,0,you should be mine dont waste your time
shaun cassidy,0,3,0,0,0,0,"da doo ron ron, thats rock n roll, hey deanie"
marcy playground,0,0,0,1,0,0,sex and candy
randy houser,0,0,0,0,0,1,runnin outta moonlight
david guetta featuring nicki minaj bebe rexha and afrojack,0,0,0,0,0,1,hey mama
d mob featuring cathy dennis,0,0,0,1,0,0,cmon and get my love
merril bainbridge,0,0,0,2,0,0,"mouth, mouth"
case featuring joe,0,0,0,1,0,0,faded pictures
christina perri,0,0,0,0,0,2,"jar of hearts, a thousand years"
4:00 PM,0,0,0,1,0,0,sukiyaki
deeelite,0,0,0,1,0,0,groove is in the heart
walk the moon,0,0,0,0,0,1,shut up and dance
lee ann womack,0,0,0,0,2,0,"i hope you dance, i hope you dance"
michael jackson and janet jackson,0,0,0,1,0,0,scream
johnny cash,1,0,0,0,0,0,a boy named sue
boys like girls featuring taylor swift,0,0,0,0,0,1,two is better than one
scritti politti,0,0,1,0,0,0,perfect way
the manhattan transfer,0,0,1,0,0,0,the boy from new york city
luther vandross and janet jackson,0,0,0,1,0,0,the best things in life are free
engelbert humperdinck,1,1,0,0,0,0,"release me, after the lovin"
young gunz,0,0,0,0,1,0,cant stop wont stop
mary macgregor,0,1,0,0,0,0,torn between two lovers
yes,0,1,1,0,0,0,"roundabout, owner of a lonely heart"
lionel richie,0,0,12,0,0,0,"you are, truly, my love, hello, all night long all night, stuck on you, running with the night, penny lover, say you say me, dancing on the ceiling, love will conquer all, ballerina girl"
friend  lover,1,0,0,0,0,0,reach out of the darkness
ray stevens,1,3,0,0,0,0,"gitarzan, everything is beautiful, the streak, misty"
foxy brown featuring jayz,0,0,0,1,0,0,ill be
joe simon,1,3,0,0,0,0,"the chokin kind, drowning in the sea of love, power of love, get down get down get on the floor"
rosanne cash,0,0,1,0,0,0,seven year ache
timbaland featuring justin timberlake,0,0,0,0,0,1,carry out
rascal flatts,0,0,0,0,2,0,"what hurts the most, life is a highway"
timbaland  magoo featuring missy elliott and aaliyah,0,0,0,1,0,0,up jumps da boogie
great white,0,0,1,0,0,0,once bitten twice shy
n2deep,0,0,0,1,0,0,back to the hotel
unk,0,0,0,0,2,0,"walk it out, 2 step"
herb alpert and the tijuana brass,1,0,0,0,0,0,zorba the greek
redbone,0,2,0,0,0,0,"the witch queen of new orleans, come and get your love"
mungo jerry,0,1,0,0,0,0,in the summertime
joe walsh,0,1,1,0,0,0,"lifes been good, all night long"
sweet,0,4,0,0,0,0,"little willy, the ballroom blitz, fox on the run, love is like oxygen"
toby keith featuring willie nelson,0,0,0,0,1,0,beer for my horses
lifehouse,0,0,0,0,4,0,"hanging by a moment, you and me, you and me, first time"
frankie j featuring baby bash,0,0,0,0,1,0,obsession no es amor
rose royce,0,2,0,0,0,0,"car wash, i wanna get next to you"
the righteous brothers,4,1,0,0,0,0,"youve lost that lovin feelin, unchained melody, just once in my life, youre my soul and inspiration, rock and roll heaven"
the marshall tucker band,0,1,0,0,0,0,heard it in a love song
marty balin,0,0,1,0,0,0,hearts
jerrod niemann,0,0,0,0,0,1,lover lover
vance joy,0,0,0,0,0,1,riptide
milli vanilli,0,0,4,2,0,0,"girl you know its true, girl im gonna miss you, blame it on the rain, baby dont forget my number, blame it on the rain, all or nothing"
john denver,0,6,0,0,0,0,"take me home country roads, rocky mountain high, sunshine on my shoulders, annies song, thank god im a country boy, im sorry"
cameo,0,0,1,0,0,0,word up
ricky martin and christina aguilera,0,0,0,0,1,0,nobody wants to be lonely
enrique iglesias featuring pitbull,0,0,0,0,0,1,i like it
blues traveler,0,0,0,2,0,0,"runaround, hook"
outkast featuring sleepy brown,0,0,0,0,1,0,the way you move
babyface,0,0,1,5,0,0,"its no crime, whip appeal, when can i see you, never keeping secrets, and our feelings, every time i close my eyes"
mike reno and ann wilson,0,0,1,0,0,0,almost paradise
rixton,0,0,0,0,0,1,me and my broken heart
barbara lewis,1,0,0,0,0,0,baby im yours
ugly kid joe,0,0,0,2,0,0,"everything about you, cats in the cradle"
white plains,0,1,0,0,0,0,my baby loves lovin
michael murphey,0,0,1,0,0,0,whats forever for
beyonce featuring jay z,0,0,0,0,0,1,drunk in love
neil  dara sedaka,0,0,1,0,0,0,shouldve never let you go
los lonely boys,0,0,0,0,1,0,heaven
usher featuring young jeezy,0,0,0,0,1,0,love in this club
leif garrett,0,1,0,0,0,0,i was made for dancin
webbie featuring lil boosie and lil phat,0,0,0,0,1,0,independent
santana featuring rob thomas,0,0,0,1,1,0,"smooth, smooth"
florida georgia line featuring nelly,0,0,0,0,0,1,cruise
charlene,0,0,1,0,0,0,ive never been to me
martika,0,0,1,0,0,0,toy soldiers
ace hood featuring future and rick ross,0,0,0,0,0,1,bugatti
neyo featuring juicy j,0,0,0,0,0,1,she knows
gwen stefani featuring akon,0,0,0,0,1,0,the sweet escape
maroon 5 featuring christina aguilera,0,0,0,0,0,2,"moves like jagger, moves like jagger"
edens crush,0,0,0,0,1,0,get over yourself
nina sky,0,0,0,0,1,0,move ya body
judy collins,0,1,0,0,0,0,amazing grace
staind,0,0,0,0,1,0,its been awhile
the calling,0,0,0,0,1,0,wherever you will go
lady gaga featuring r kelly,0,0,0,0,0,1,do what u want
anna kendrick,0,0,0,0,0,1,cups pitch perfects when im gone
luke bryan,0,0,0,0,0,7,"country girl shake it for me, drunk on you, i dont want this night to end, crash my party, thats my kind of night, play it again, kick the dust up"
kelis,0,0,0,0,1,0,milkshake
johnny maestro  the brooklyn bridge,1,0,0,0,0,0,the worst that could happen
souldecision featuring thrust,0,0,0,0,1,0,faded
michael w smith,0,0,0,1,0,0,place in this world
david guetta featuring flo rida and nicki minaj,0,0,0,0,0,1,where them girls at
psy,0,0,0,0,0,2,"gangnam style, gangnam style"
camron featuring juelz santana and freekey zekey,0,0,0,0,1,0,hey ma
akon featuring styles p,0,0,0,0,1,0,locked up
green day,0,0,0,0,4,0,"boulevard of broken dreams, holiday, wake me up when september ends, 21 guns"
gladys knight  the pips,0,7,0,0,0,0,"if i were your woman, neither one of us wants to be the first to say goodbye, midnight train to georgia, best thing that ever happened to me, ive got to use my imagination, on and on, the way we weretry to remember"
everlast,0,0,0,1,0,0,what its like
the ventures,1,0,0,0,0,0,hawaii fiveo
dangelo,0,0,0,2,0,0,"brown sugar, lady"
love unlimited,0,1,0,0,0,0,walkin in the rain with the one i love
robin s,0,0,0,1,0,0,show me love
no doubt featuring lady saw,0,0,0,0,2,0,"underneath it all, underneath it all"
bay city rollers,0,3,0,0,0,0,"saturday night, money honey, you made me believe in magic"
bobby vee,1,0,0,0,0,0,come back when you grow up
belinda carlisle,0,0,3,0,0,0,"mad about you, heaven is a place on earth, i get weak"
big brother and the holding company,1,0,0,0,0,0,piece of my heart
kenny rogers and dolly parton,0,0,1,0,0,0,islands in the stream
robert knight,1,0,0,0,0,0,everlasting love
bow wow featuring chris brown and johnt'a austin,0,0,0,0,1,0,shortie like mine
warrant,0,0,1,1,0,0,"heaven, i saw red"
avril lavigne,0,0,0,0,7,1,"complicated, sk8er boi, im with you, my happy ending, dont tell me, girlfriend, keep holding on, what the hell"
50 cent featuring mobb deep,0,0,0,0,1,0,outta control
smokey robinson,0,0,3,0,0,0,"cruisin, being with you, just to see her"
  the mysterians,1,0,0,0,0,0,96 tears
better than ezra,0,0,0,1,0,0,good
trick daddy,0,0,0,0,1,0,im a thug
the script,0,0,0,0,0,2,"breakeven, for the first time"
teena marie,0,0,1,0,0,0,lovergirl
foo fighters,0,0,0,0,1,0,best of you
taio cruz,0,0,0,0,0,2,"dynamite, dynamite"
the pipkins,0,1,0,0,0,0,gimme dat ding
peabo bryson and regina belle,0,0,0,1,0,0,a whole new world
thedream,0,0,0,0,2,0,"i luv your girl, rockin that thang"
calvin harris featuring neyo,0,0,0,0,0,1,lets go
the tony rich project,0,0,0,1,0,0,nobody knows
sister sledge,0,2,0,0,0,0,"hes the greatest dancer, we are family"
glen campbell,1,4,0,0,0,0,"galveston, its only make believe, rhinestone cowboy, country boy you got your feet in la, southern nights"
trey songz,0,0,0,0,1,3,"cant help but wait, heart attack, na na, slow motion"
kanye west featuring tpain,0,0,0,0,1,0,good life
the flying machine,1,0,0,0,0,0,smile a little smile for me
la roux,0,0,0,0,0,1,bulletproof
the pointer sisters,0,2,4,0,0,0,"yes we can can, fire, slow hand, should i do it, im so excited, neutron dance"
tim mcgraw featuring taylor swift and keith urban,0,0,0,0,0,1,highway dont care
david soul,0,1,0,0,0,0,dont give up on us
chris brown featuring juelz santana,0,0,0,0,2,0,"run it, run it"
master p featuring sons of funk,0,0,0,1,0,0,i got the hook up
fergie,0,0,0,0,4,0,"london bridge, big girls dont cry, clumsy, big girls dont cry"
usa for africa,0,0,1,0,0,0,we are the world
all4one,0,0,0,3,0,0,"i swear, so much in love, i can love you like that"
santana featuring chad kroeger,0,0,0,0,1,0,into the night
the beatles,14,3,0,0,0,0,"help, ticket to ride, eight days a week, we can work it out, paperback writer, nowhere man, yellow submarine, all you need is love, penny lane, hey jude, lady madonna, revolution, something, come together, let it be, the long and winding road, got to get you into my life"
tracy chapman,0,0,1,1,0,0,"fast car, give me one reason"
collective soul,0,0,0,3,0,0,"shine, december, the world i know"
jd souther,0,0,1,0,0,0,youre only lonely
ashanti,0,0,0,0,5,0,"foolish, happy, baby, rock wit u awww baby, rain on me"
100 proof aged in soul,0,1,0,0,0,0,somebodys been sleeping
jive bunny and the mastermixers,0,0,0,1,0,0,swing the mood
the hollies,3,3,0,0,0,0,"bus stop, on a carousel, carrie anne, he aint heavy hes my brother, long cool woman in a black dress, the air that i breathe"
three dog night,2,7,0,0,0,0,"one, easy to be hard, mama told me not to come, joy to the world, liar, black and white, never been to spain, shambala, the show must go on"
jerry butler,3,0,0,0,0,0,"hey western union man, never give you up, only the strong survive"
amanda perez,0,0,0,0,1,0,angel
kendrick lamar,0,0,0,0,0,1,swimming pools drank
bobby sherman,1,2,0,0,0,0,"little woman, julie do ya love me, easy come easy go"
prince and the revolution,0,0,3,0,0,0,"lets go crazy, raspberry beret, kiss"
wale featuring tiara thomas,0,0,0,0,0,1,bad
chris de burgh,0,0,1,0,0,0,the lady in red
blue swede,0,1,0,0,0,0,hooked on a feeling
m'ya,0,0,0,0,3,0,"case of the ex, case of the ex, my love is likewo"
bubba sparxxx featuring ying yang twins,0,0,0,0,1,0,ms new booty
florida georgia line,0,0,0,0,0,2,"get your shine on, dirt"
monifah,0,0,0,1,0,0,touch it
paul mccartney and wings,0,3,0,0,0,0,"band on the run, jet, helen wheels"
drake featuring majid jordan,0,0,0,0,0,2,"hold on were going home, hold on were going home"
candlebox,0,0,0,1,0,0,far behind
ike  tina turner,0,2,0,0,0,0,"i want to take you higher, proud mary"
brick,0,1,0,0,0,0,dazz
nas and bravehearts,0,0,0,0,1,0,oochie wally
young mc,0,0,1,0,0,0,bust a move
flo rida featuring sage the gemini and lookas,0,0,0,0,0,1,gdfr
positive k,0,0,0,1,0,0,i got a man
charles wright  the watts 103rd street rhythm band,0,2,0,0,0,0,"love land, express yourself"
us3,0,0,0,1,0,0,cantaloop flip fantasia
wing and a prayer fife and drum corps,0,1,0,0,0,0,baby face
saltnpepa and en vogue,0,0,0,1,0,0,whatta man
evanescence featuring paul mccoy,0,0,0,0,1,0,bring me to life
foreigner,0,4,5,0,0,0,"feels like the first time, cold as ice, hot blooded, double vision, urgent, waiting for a girl like you, i want to know what love is, say you will, i dont want to live without you"
pretty poison,0,0,1,0,0,0,catch me im falling
carly simon,0,5,0,0,0,0,"thats the way ive always heard it should be, anticipation, youre so vain, nobody does it better, you belong to me"
terry jacks,0,1,0,0,0,0,seasons in the sun
the young rascals,4,0,0,0,0,0,"good lovin, groovin, ive been lonely too long, how can i be sure"
the proclaimers,0,0,0,1,0,0,im gonna be 500 miles
tpain featuring lil wayne,0,0,0,0,1,0,cant believe it
faith evans featuring puff daddy,0,0,0,1,0,0,all night long
starship,0,0,3,0,0,0,"we built this city, sara, nothings gonna stop us now"
vikki carr,1,0,0,0,0,0,it must be him
nigel olsson,0,1,0,0,0,0,dancin shoes
debarge,0,0,4,0,0,0,"all this love, time will reveal, rhythm of the night, whos holding donna now"
dottie west  kenny rogers,0,0,1,0,0,0,what are we doin in love
mary j blige,0,0,0,3,5,0,"real love, real love, not gon cry, family affair, family affair, no more drama, be without you, just fine"
freddie hart,0,1,0,0,0,0,easy loving
peabo bryson and roberta flack,0,0,1,0,0,0,tonight i celebrate my love
alex clare,0,0,0,0,0,1,too close
mario featuring gucci mane and sean garrett,0,0,0,0,1,0,break up
john schneider,0,0,1,0,0,0,its now or never
snoop dogg featuring pharrell and charlie wilson,0,0,0,0,1,0,beautiful
juvenile featuring mannie fresh and lil wayne,0,0,0,1,0,0,back that azz up
lil jon  the east side boyz featuring ying yang twins,0,0,0,0,2,0,"get low, get low"
the bangles,0,0,5,0,0,0,"manic monday, walk like an egyptian, a hazy shade of winter, eternal flame, in your room"
norman greenbaum,0,1,0,0,0,0,spirit in the sky
fabolous featuring tamia,0,0,0,0,1,0,into you
lupe fiasco featuring matthew santos,0,0,0,0,1,0,superstar
taylor hicks,0,0,0,0,1,0,do i make you proud
every mothers son,1,0,0,0,0,0,come on down to my boat
lloyd featuring lil wayne,0,0,0,0,1,0,you
gloria estefan,0,0,1,3,0,0,"dont wanna lose you, here we are, coming out of the dark, turn the beat around"
vanity fare,0,1,0,0,0,0,hitchin a ride
tpain featuring wiz khalifa and lily allen,0,0,0,0,0,1,5 oclock
crash test dummies,0,0,0,1,0,0,mmm mmm mmm mmm
aretha franklin,6,5,2,1,0,0,"respect, baby i love you, i never loved a man the way i love you, sweet sweet baby since youve been gone, i say a little prayer, think, call me, spanish harlem, bridge over troubled water, day dreaming, until you come back to me thats what im gonna do, freeway of love, whos zoomin who, a rose is still a rose"
amazing rhythm aces,0,1,0,0,0,0,third rate romance
michael mcdonald,0,0,2,0,0,0,"i keep forgettin every time youre near, sweet freedom"
ben e king,0,0,1,0,0,0,stand by me
brewer  shipley,0,1,0,0,0,0,one toke over the line
dr john,0,1,0,0,0,0,right place wrong time
j cole,0,0,0,0,0,1,work out
jimmy cliff,0,0,0,1,0,0,i can see clearly now
paul davis,0,1,2,0,0,0,"i go crazy, 65 love affair, cool night"
rupert holmes,0,0,2,0,0,0,"escape the pi~na colada song, him"
jayz featuring beyonce,0,0,0,0,1,0,03 bonnie  clyde
petula clark,5,0,0,0,0,0,"downtown, i know a place, my love, this is my song, dont sleep in the subway"
jagged edge featuring nelly,0,0,0,0,1,0,where the party at
linda ronstadt,0,5,2,0,0,0,"when will i be loved, youre no good, blue bayou, its so easy, ooo baby baby, how do i make you, hurt so bad"
genesis,0,0,7,3,0,0,"misunderstanding, thats all, invisible touch, throwing it all away, land of confusion, in too deep, tonight tonight tonight, i cant dance, hold on my heart, no son of mine"
scarface featuring 2pac and johnny p,0,0,0,1,0,0,smile
pablo cruise,0,2,1,0,0,0,"whatcha gonna do, love will find a way, cool love"
mariah carey featuring cameo,0,0,0,0,1,0,loverboy
mike post,0,1,0,0,0,0,the rockford files
al b sure,0,0,1,0,0,0,nite and day
mo thugs,0,0,0,1,0,0,ghetto cowboy
beastie boys,0,0,1,0,0,0,you gotta fight for your right to party
macklemore  ryan lewis featuring schoolboy q and hollis,0,0,0,0,0,1,white walls
dishwalla,0,0,0,1,0,0,counting blue cars
cheryl lynn,0,1,0,0,0,0,got to be real
mia,0,0,0,0,1,0,paper planes
harry chapin,0,2,0,0,0,0,"taxi, cats in the cradle"
jon secada,0,0,0,4,0,0,"just another day, do you believe in us, angel, if you go"
chris brown featuring usher and rick ross,0,0,0,0,0,1,new flame
brook benton,0,1,0,0,0,0,rainy night in georgia
busta rhymes and mariah carey featuring flipmode squad,0,0,0,0,1,0,i know what you want
brenda russell featuring joe esposito,0,0,1,0,0,0,piano in the dark
billy joe royal,1,0,0,0,0,0,down in the boondocks
journey,0,0,5,1,0,0,"whos crying now, open arms, dont stop believin, separate ways worlds apart, faithfully, when you love a woman"
sheriff,0,0,1,0,0,0,when im with you
bow wow featuring tpain and johnt'a austin,0,0,0,0,1,0,outta my system
billy ocean,0,0,6,0,0,0,"caribbean queen, loverboy, suddenly, therell be sad songs to make you cry, when the going gets tough the tough get going, get outta my dreams get into my car"
jackie wilson,1,0,0,0,0,0,your love keeps lifting me higher and higher
alabama,0,0,2,0,0,0,"feels so right, love in the first degree"
jay ferguson,0,1,0,0,0,0,thunder island
toni basil,0,0,1,0,0,0,mickey
mkto,0,0,0,0,0,1,classic
akon featuring colby odonis and kardinal offishall,0,0,0,0,1,0,beautiful
starpoint,0,0,1,0,0,0,object of my desire
maxine nightingale,0,2,0,0,0,0,"right back where we started from, lead me on"
hugh masekela,1,0,0,0,0,0,grazing in the grass
rihanna featuring jeezy,0,0,0,0,0,1,hard
the red jumpsuit apparatus,0,0,0,0,1,0,face down
neyo,0,0,0,0,8,2,"so sick, sexy love, when youre mad, because of you, closer, miss independent, mad, miss independent, let me love you until you learn to love yourself, let me love you until you learn to love yourself"
chic,0,4,0,0,0,0,"dance dance dance yowsah yowsah yowsah, le freak, good times, i want your love"
nitty gritty dirt band,0,1,0,0,0,0,mr bojangles
david guetta featuring nicki minaj,0,0,0,0,0,1,turn me on
calvin harris,0,0,0,0,0,2,"feel so close, summer"
steely dan,0,5,1,0,0,0,"reelin in the years, do it again, rikki dont lose that number, peg, deacon blues, hey nineteen"
gq,0,2,0,0,0,0,"disco nights rockfreak, i do love you"
daryl hall,0,0,1,0,0,0,dreamtime
jonas brothers featuring big rob,0,0,0,0,1,0,burnin up
htown,0,0,0,1,0,0,knockin da boots
the lemon pipers,1,0,0,0,0,0,green tambourine
bad company,0,2,0,0,0,0,"feel like makin love, rock n roll fantasy"
clean bandit featuring jess glynne,0,0,0,0,0,1,rather be
linda ronstadt and aaron neville,0,0,0,1,0,0,dont know much
the notorious big featuring puff daddy and mase,0,0,0,1,0,0,mo money mo problems
bloodstone,0,1,0,0,0,0,natural high
stevie nicks  tom petty,0,0,1,0,0,0,stop draggin my heart around
climax,0,1,0,0,0,0,precious and few
def leppard,0,0,4,3,0,0,"photograph, pour some sugar on me, love bites, armageddon it, have you ever needed someone so bad, lets get rocked, two steps behind"
patrick hernandez,0,1,0,0,0,0,born to be alive
beck,0,0,0,1,0,0,loser
snap,0,0,0,3,0,0,"the power, rhythm is a dancer, rhythm is a dancer"
bobby mcferrin,0,0,1,0,0,0,dont worry be happy
donna summer,0,5,5,0,0,0,"love to love you baby, last dance, bad girls, hot stuff, macarthur park, on the radio, dim all the lights, love is in control finger on the trigger, she works hard for the money, this time i know its for real"
the doors,3,2,0,0,0,0,"light my fire, hello i love you, touch me, love her madly, riders on the storm"
charlie daniels band,0,0,1,0,0,0,in america
snow,0,0,0,1,0,0,informer
cali swag district,0,0,0,0,0,1,teach me how to dougie
the cranberries,0,0,0,2,0,0,"linger, when youre gone  free to decide"
aaliyah,0,0,0,5,6,0,"back  forth, at your best you are love, if your girl only knew, the one i gave my heart to, the one i gave my heart to, try again, i dont wanna, more than a woman, rock the boat, miss you, come over"
sammy hagar,0,0,1,0,0,0,your love is driving me crazy
the jackson 5,0,7,0,0,0,0,"ill be there, abc, the love you save, i want you back, never can say goodbye, mamas pearl, dancing machine"
biz markie,0,0,0,1,0,0,just a friend
jack jones,1,0,0,0,0,0,the race is on
young money,0,0,0,0,1,0,every girl
taylor swift featuring kendrick lamar,0,0,0,0,0,1,bad blood
grover washington jr  bill withers,0,0,1,0,0,0,just the two of us
avicii,0,0,0,0,0,3,"wake me up, wake me up, hey brother"
plies featuring tpain,0,0,0,0,1,0,shawty
anita ward,0,1,0,0,0,0,ring my bell
puddle of mudd,0,0,0,0,2,0,"blurry, she hates me"
patti labelle and michael mcdonald,0,0,1,0,0,0,on my own
johnny nash,1,2,0,0,0,0,"hold me tight, i can see clearly now, stir it up"
the three degrees,0,1,0,0,0,0,when will i see you again
rich boy featuring polow da don,0,0,0,0,1,0,throw some ds
jodeci,0,0,0,4,0,0,"come and talk to me, lately, cry for you, freekn you"
smash mouth,0,0,0,1,1,0,"all star, then the morning comes"
the greg kihn band,0,0,2,0,0,0,"the breakup song they dont write em, jeopardy"
alan oday,0,1,0,0,0,0,undercover angel
wyclef jean featuring akon lil wayne and niia,0,0,0,0,1,0,sweetest girl dollar bill
boyz ii men,0,0,0,13,0,0,"motownphilly, end of the road, its so hard to say goodbye to yesterday, uhh ahh, in the still of the nite, ill make love to you, on bended knee, water runs dry, ill make love to you, thank you, 4 seasons of loneliness, a song for mama, 4 seasons of loneliness"
n sync,0,0,0,2,4,0,"i want you back, god must have spent a little more time on you, bye bye bye, its gonna be me, this i promise you, gone"
red hot chili peppers,0,0,0,2,3,0,"under the bridge, scar tissue, otherside, dani california, snow hey oh"
tommy tutone,0,0,1,0,0,0,8675309jenny
jennifer lopez featuring jadakiss and styles p,0,0,0,0,1,0,jenny from the block
az yet,0,0,0,2,0,0,"last night, last night"
the blackout allstars,0,0,0,1,0,0,i like it
bo donaldson and the heywoods,0,1,0,0,0,0,billy dont be a hero
cypress hill,0,0,0,1,0,0,insane in the brain
joe public,0,0,0,1,0,0,live and learn
bobby valentino,0,0,0,0,1,0,slow down
julio iglesias and willie nelson,0,0,1,0,0,0,to all the girls ive loved before
idina menzel,0,0,0,0,0,1,let it go
michael buble,0,0,0,0,0,1,havent met you yet
england dan  john ford coley,0,2,0,0,0,0,"id really love to see you tonight, love is the answer"
van mccoy  the soul city symphony,0,1,0,0,0,0,the hustle
michael jackson and paul mccartney,0,0,1,0,0,0,the girl is mine
bobby boris pickett and the cryptkickers,0,1,0,0,0,0,monster mash
justin timberlake,0,0,0,0,7,2,"like i love you, cry me a river, rock your body, what goes around comes around, summer love, sexyback, lovestoned, mirrors, not a bad thing"
desree,0,0,0,1,0,0,you gotta be
rihanna featuring neyo,0,0,0,0,1,0,hate that i love you
labelle,0,1,0,0,0,0,lady marmalade
pete townshend,0,0,1,0,0,0,let my love open the door
the b52s,0,0,1,2,0,0,"love shack, roam, love shack"
mr president,0,0,0,1,0,0,coco jambo
chris brown and tyga,0,0,0,0,0,1,ayo
brandy and monica,0,0,0,1,0,0,the boy is mine
maxwell,0,0,0,1,1,0,"fortunate, pretty wings"
otis redding,1,0,0,0,0,0,sittin on the dock of the bay
youngbloodz featuring lil jon,0,0,0,0,2,0,"damn, damn"
