animotion,0,0,1,0,0,0,obsession,1985,1985,,
anita baker,0,0,2,0,0,0,"sweet love, giving you the best that i got",1986,1989,female,African-American_female_singer-songwriters
anita ward,0,1,0,0,0,0,ring my bell,1979,1979,female,American_female_singers
ann wilson and robin zander,0,0,1,0,0,0,surrender to me,1989,1989,,
anna kendrick,0,0,0,0,0,1,cups pitch perfects when im gone,2013,2013,female,American_female_pop_singers
anne murray,0,6,2,0,0,0,"snowbird, dannys song, you wont see me, a love song, you needed me, i just fall in love again, daydream believer, broken hearted me",1970,1980,female,Canadian_female_pop_singers
annie lennox,0,0,0,1,0,0,no more i love yous,1995,1995,female,Female_rock_singers
another bad creation,0,0,0,1,0,0,iesha,1991,1991,,
apollo 100,0,1,0,0,0,0,joy,1972,1972,,
aqua,0,0,0,1,0,0,barbie girl,1997,1997,,
arcadia,0,0,1,0,0,0,election day,1986,1986,,
archie bell  the drells,1,0,0,0,0,0,tighten up,1968,1968,,
aretha franklin,6,5,2,1,0,0,"respect, baby i love you, i never loved a man the way i love you, sweet sweet baby since youve been gone, i say a little prayer, think, call me, spanish harlem, bridge over troubled water, day dreaming, until you come back to me thats what im gonna do, freeway of love, whos zoomin who, a rose is still a rose",1967,1998,female,African-American_female_singer-songwriters
aretha franklin and george michael,0,0,1,0,0,0,i knew you were waiting for me,1987,1987,,
argent,0,1,0,0,0,0,hold your head up,1972,1972,,
ariana grande,0,0,0,0,0,4,"the way, problem, break free, one last time",2013,2015,female,American_female_pop_singers
ariana grande and the weeknd,0,0,0,0,0,1,love me harder,2015,2015,,
arlo guthrie,0,1,0,0,0,0,city of new orleans,1972,1972,male,American_male_guitarists
arrested development,0,0,0,3,0,0,"tennessee, people everyday, mr wendal",1992,1993,,
arthur conley,1,0,0,0,0,0,sweet soul music,1967,1967,male,American_male_singers
asap rocky,0,0,0,0,0,1,fuckin problems,2013,2013,male,African-American_male_rappers
ashanti,0,0,0,0,5,0,"foolish, happy, baby, rock wit u awww baby, rain on me",2002,2003,,
asher roth,0,0,0,0,1,0,i love college,2009,2009,male,American_male_rappers
ashford  simpson,0,0,1,0,0,0,solid,1985,1985,,
ashlee simpson,0,0,0,0,1,0,pieces of me,2004,2004,female,American_female_pop_singers
asia,0,0,2,0,0,0,"heat of the moment, dont cry",1982,1983,male,
atlanta rhythm section,0,2,0,0,0,0,"so in to you, imaginary lover",1977,1978,,
atlantic starr,0,0,2,1,0,0,"secret lovers, always, masterpiece",1986,1992,,
audioslave,0,0,0,0,1,0,like a stone,2003,2003,,
avant,0,0,0,0,2,0,"separated, read your mind",2000,2004,male,African-American_male_singers
average white band,0,2,0,0,0,0,"pick up the pieces, cut the cake",1975,1975,,
avicii,0,0,0,0,0,3,"wake me up, wake me up, hey brother",2013,2014,,
avril lavigne,0,0,0,0,7,1,"complicated, sk8er boi, im with you, my happy ending, dont tell me, girlfriend, keep holding on, what the hell",2002,2011,female,Canadian_female_singers
awolnation,0,0,0,0,0,1,sail,2013,2013,male,
az,0,0,0,1,0,0,sugar hill,1995,1995,male,African-American_male_rappers
az yet,0,0,0,3,0,0,"last night, hard to say im sorry, last night",1996,1997,,
b2k,0,0,0,0,1,0,uh huh,2002,2002,male,
b2k and p diddy,0,0,0,0,1,0,bump bump bump,2003,2003,,
baauer,0,0,0,0,0,1,harlem shake,2013,2013,male,
baby bash,0,0,0,0,5,0,"suga suga, suga suga, baby im back, cyclone, cyclone",2003,2008,,
baby boy da prince,0,0,0,0,1,0,the way i live,2007,2007,male,African-American_male_rappers
babyface,0,0,1,5,0,0,"its no crime, whip appeal, when can i see you, never keeping secrets, and our feelings, every time i close my eyes",1989,1997,,
bachmanturner overdrive,0,2,0,0,0,0,"takin care of business, you aint seen nothing yet",1974,1975,,
backstreet boys,0,0,0,5,2,0,"quit playing games with my heart, everybody backstreets back, quit playing games with my heart, i want it that way, all i have to give, show me the meaning of being lonely, incomplete",1997,2005,,
bad company,0,2,0,0,0,0,"feel like makin love, rock n roll fantasy",1975,1979,male,
bad english,0,0,1,1,0,0,"when i see you smile, price of love",1989,1990,,
bad meets evil,0,0,0,0,0,1,lighters,2011,2011,,
badfinger,0,2,0,0,0,0,"come and get it, day after day",1970,1972,,
baltimora,0,0,1,0,0,0,tarzan boy,1986,1986,male,
bananarama,0,0,3,0,0,0,"cruel summer, venus, i heard a rumour",1984,1987,,
barbara lewis,1,0,0,0,0,0,baby im yours,1965,1965,,
barbara mason,1,0,0,0,0,0,yes im ready,1965,1965,female,American_female_singers
barbra streisand,0,4,2,0,0,0,"the way we were, evergreen love theme from a star is born, my heart belongs to me, the main eventfight, woman in love, comin in and out of your life",1974,1982,female,American_female_pop_singers
barbra streisand  barry gibb,0,0,2,0,0,0,"guilty, what kind of fool",1981,1981,,
barbra streisand  donna summer,0,0,1,0,0,0,no more tears enough is enough,1980,1980,,
barbra streisand and bryan adams,0,0,0,1,0,0,i finally found someone,1997,1997,,
barenaked ladies,0,0,0,1,0,0,one week,1998,1998,,
barry manilow,0,9,2,0,0,0,"mandy, could it be magic, i write the songs, tryin to get the feeling again, looks like we made it, weekend in new england, cant smile without you, copacabana, somewhere in the night, ships, i made it through the rain",1975,1981,male,American_crooners
barry mcguire,1,0,0,0,0,0,eve of destruction,1965,1965,male,American_male_singer-songwriters
barry white,0,3,0,0,0,0,"im gonna love you just a little more baby, never never gonna give you up, youre the first the last my everything",1973,1975,male,African-American_male_singers
bastille,0,0,0,0,0,1,pompeii,2014,2014,,
bay city rollers,0,3,0,0,0,0,"saturday night, money honey, you made me believe in magic",1976,1977,male,
bazuka,0,1,0,0,0,0,dynomite,1975,1975,female,
bb king,0,1,0,0,0,0,the thrill is gone,1970,1970,male,
bbmak,0,0,0,0,1,0,back here,2000,2000,,
beastie boys,0,0,1,0,0,0,you gotta fight for your right to party,1987,1987,male,
beck,0,0,0,1,0,0,loser,1994,1994,male,American_male_guitarists
becky g,0,0,0,0,0,1,shower,2014,2014,female,American_female_pop_singers
bee gees,0,12,0,0,0,0,"how can you mend a broken heart, lonely days, jive talkin, you should be dancing, fanny be tender with my love, love so right, night fever, stayin alive, how deep is your love, too much heaven, tragedy, love you inside out",1971,1979,,
beenie man,0,0,0,0,1,0,dude,2004,2004,,
belinda carlisle,0,0,3,0,0,0,"mad about you, heaven is a place on earth, i get weak",1986,1988,female,American_female_pop_singers
bell biv devoe,0,0,0,2,0,0,"poison, do me",1990,1990,,
ben e king,0,0,1,0,0,0,stand by me,1987,1987,,
benny mardones,0,0,1,0,0,0,into the night,1980,1980,,
berlin,0,0,1,0,0,0,take my breath away,1986,1986,,
bert kaempfert,1,0,0,0,0,0,red roses for a blue lady,1965,1965,male,
bertie higgins,0,0,1,0,0,0,key largo,1982,1982,male,American_male_singers
bette midler,0,2,2,1,0,0,"boogie woogie bugle boy, do you wanna dance, the rose, wind beneath my wings, from a distance",1973,1991,female,American_female_pop_singers
better than ezra,0,0,0,1,0,0,good,1995,1995,,
betty wright,0,1,0,0,0,0,clean up woman,1972,1972,female,African-American_female_singers
beverly bremers,0,1,0,0,0,0,dont say you dont remember,1972,1972,,
beyonce,0,0,0,0,14,5,"crazy in love, baby boy, naughty girl, me myself and i, baby boy, check on it, dej`a vu, irreplaceable, beautiful liar, single ladies put a ring on it, halo, if i were a boy, sweet dreams, diva, sweet dreams, best thing i never had, drunk in love, partition, 711",2003,2015,female,
big brother and the holding company,1,0,0,0,0,0,piece of my heart,1968,1968,,
big mountain,0,0,0,1,0,0,baby i love your way,1994,1994,,
big pun,0,0,0,1,0,0,still not a player,1998,1998,,
big sean,0,0,0,0,0,4,"my last, dance a, i dont fuck with you, blessings",2011,2015,male,African-American_male_rappers
big tymers,0,0,0,0,1,0,still fly,2002,2002,,
bill conti deetta little and nelson pigford,0,1,0,0,0,0,gonna fly now,1977,1977,both,
bill cosby,1,0,0,0,0,0,little ole man uptight everythings alright,1967,1967,,
bill medley and jennifer warnes,0,0,1,0,0,0,ive had the time of my life,1987,1987,,
bill withers,0,3,0,0,0,0,"aint no sunshine, lean on me, use me",1971,1972,male,African-American_male_singers
billie myers,0,0,0,1,0,0,kiss the rain,1998,1998,female,English_female_pop_singers
billy currington,0,0,0,0,1,0,people are crazy,2009,2009,male,American_country_singers
billy idol,0,0,4,1,0,0,"hot in the city, eyes without a face, mony mony, to be a lover, cradle of love",1982,1990,male,English_male_singers
billy joe royal,1,0,0,0,0,0,down in the boondocks,1965,1965,male,American_country_singers
billy joel,0,2,7,3,0,0,"just the way you are, my life, its still rock and roll to me, you may be right, allentown, tell her about it, uptown girl, an innocent man, the longest time, we didnt start the fire, i go to extremes, the river of dreams",1978,1993,male,American_male_pop_singers
billy ocean,0,0,6,0,0,0,"caribbean queen, loverboy, suddenly, therell be sad songs to make you cry, when the going gets tough the tough get going, get outta my dreams get into my car",1984,1988,male,English_male_singers
billy paul,0,1,0,0,0,0,me and mrs jones,1973,1973,male,American_male_singers
billy preston,0,3,0,0,0,0,"outaspace, will it go round in circles, nothing from nothing",1972,1974,male,American_male_singer-songwriters
billy preston and syreeta,0,0,1,0,0,0,with you im born again,1980,1980,,
billy ray cyrus,0,0,0,1,0,0,achy breaky heart,1992,1992,male,American_country_singers
billy squier,0,0,2,0,0,0,"the stroke, rock me tonite",1981,1984,male,American_male_guitarists
billy swan,0,1,0,0,0,0,i can help,1975,1975,male,American_country_singers
billy vera and the beaters,0,0,1,0,0,0,at this moment,1987,1987,,
biz markie,0,0,0,1,0,0,just a friend,1990,1990,male,African-American_male_rappers
bj thomas,2,4,0,0,0,0,"im so lonesome i could cry, hooked on a feeling, raindrops keep fallin on my head, i just cant help believing, hey wont you play another somebody done somebody wrong song, dont worry baby",1966,1977,male ,
black box,0,0,0,2,0,0,"everybody everybody, strike it up",1990,1991,,
blackstreet,0,0,0,4,0,0,"before i let you go, no diggity, no diggity, take me there",1995,1999,,
blake shelton,0,0,0,0,1,4,"austin, honey bee, god gave me you, boys round here, sure be cool if you did",2001,2013,male,American_country_singers
blaque,0,0,0,1,1,0,"808, bring it all to me",1999,2000,,
blessid union of souls,0,0,0,1,0,0,i believe,1995,1995,,
blink 182,0,0,0,0,1,0,all the small things,2000,2000,,
blondie,0,1,3,0,0,0,"heart of glass, call me, rapture, the tide is high",1979,1981,,
blood sweat  tears,2,0,0,0,0,0,"spinning wheel, youve made me so very happy",1969,1969,,
bloodstone,0,1,0,0,0,0,natural high,1973,1973,,
blu cantrell,0,0,0,0,1,0,hit em up style oops,2001,2001,female,African-American_female_singer-songwriters
blue cheer,1,0,0,0,0,0,summertime blues,1968,1968,,
blue magic,0,1,0,0,0,0,sideshow,1974,1974,,
blue october,0,0,0,0,1,0,hate me,2006,2006,male,
blue ridge rangers,0,1,0,0,0,0,jambalaya on the bayou,1973,1973,,
blue swede,0,1,0,0,0,0,hooked on a feeling,1974,1974,,
blues image,0,1,0,0,0,0,ride captain ride,1970,1970,,
blues magoos,1,0,0,0,0,0,we aint got nothin yet,1967,1967,,
blues traveler,0,0,0,2,0,0,"runaround, hook",1995,1996,,
bo donaldson and the heywoods,0,1,0,0,0,0,billy dont be a hero,1974,1974,,
bob,0,0,0,0,0,4,"airplanes, nothin on you, magic, so good",2010,2012,,
bob dylan,3,0,0,0,0,0,"like a rolling stone, rainy day women 12  35, lay lady lay",1965,1969,male,American_country_singers
bob lind,1,0,0,0,0,0,elusive butterfly,1966,1966,male,American_male_guitarists
bob seger,0,0,2,0,0,0,"fire lake, shakedown",1980,1987,male,American_male_guitarists
bob seger  the silver bullet band,0,4,1,0,0,0,"night moves, still the same, hollywood nights, weve got tonight, shame on the moon",1977,1983,,
bob seger and the silver bullet band,0,0,1,0,0,0,against the wind,1980,1980,,
bob seger system,1,0,0,0,0,0,ramblin gamblin man,1969,1969,,
bob welch,0,2,0,0,0,0,"sentimental lady, ebony eyes",1978,1978,male,American_male_guitarists
bobbi martin,0,1,0,0,0,0,for the love of him,1970,1970,female,American_female_country_singers
bobbie gentry,1,0,0,0,0,0,ode to billie joe,1967,1967,female,American_female_country_singers
bobby boris pickett and the cryptkickers,0,1,0,0,0,0,monster mash,1973,1973,,
bobby brown,0,0,6,2,0,0,"dont be cruel, my prerogative, on our own, every little step, roni, rock witcha, humpin around, good enough",1988,1993,male,African-American_male_singers
bobby caldwell,0,1,0,0,0,0,what you wont do for love,1979,1979,,
bobby darin,1,0,0,0,0,0,if i were a carpenter,1966,1966,male,American_country_singers
bobby fuller four,1,0,0,0,0,0,i fought the law,1966,1966,,
bobby goldsboro,2,1,0,0,0,0,"little things, honey, watching scotty grow",1965,1971,male,American_country_singers
bobby hebb,1,0,0,0,0,0,sunny,1966,1966,male,American_male_singers
bobby mcferrin,0,0,1,0,0,0,dont worry be happy,1988,1988,,
bobby sherman,1,2,0,0,0,0,"little woman, julie do ya love me, easy come easy go",1969,1970,male,American_male_singers
bobby shmurda,0,0,0,0,0,1,hot boy,2014,2014,male,African-American_male_rappers
bobby valentino,0,0,0,0,1,0,slow down,2005,2005,male,
bobby vee,1,0,0,0,0,0,come back when you grow up,1967,1967,male,American_male_singers
bobby vinton,1,1,0,0,0,0,"please love me forever, sealed with a kiss",1967,1972,male,American_male_singers
bobby womack,0,1,0,0,0,0,lookin for a love,1974,1974,male,African-American_male_singers
bodeans,0,0,0,1,0,0,closer to free,1996,1996,,
bon jovi,0,0,7,4,1,0,"you give love a bad name, livin on a prayer, wanted dead or alive, bad medicine, ill be there for you, born to be my baby, lay your hands on me, bed of roses, always, always, this aint a love song, who says you cant go home",1986,2006,,
bone thugsnharmony,0,0,0,3,1,0,"1st of tha month, tha crossroads, look into my eyes, i tried",1995,2007,,
bonnie pointer,0,1,0,0,0,0,heaven must have sent you,1979,1979,female,African-American_female_singers
bonnie raitt,0,0,0,3,0,0,"something to talk about, i cant make you love me, love sneakin up on you",1991,1994,female,American_female_country_singers
bonnie tyler,0,1,1,0,0,0,"its a heartache, total eclipse of the heart",1978,1983,female,Female_rock_singers
booker t  the mgs,3,0,0,0,0,0,"groovin, time is tight, hang em high",1967,1969,,
boston,0,1,1,0,0,0,"dont look back, amanda",1978,1986,male,
bow wow,0,0,0,0,4,0,"let me hold you, like you, shortie like mine, outta my system",2005,2007,male,African-American_male_rappers
boy krazy,0,0,0,1,0,0,thats what love can do,1993,1993,,
boy meets girl,0,0,1,0,0,0,waiting for a star to fall,1989,1989,,
boys club,0,0,1,0,0,0,i remember holding you,1989,1989,,
boys like girls,0,0,0,0,2,1,"the great escape, love drunk, two is better than one",2007,2010,,
boyz ii men,0,0,0,13,0,0,"motownphilly, end of the road, its so hard to say goodbye to yesterday, uhh ahh, in the still of the nite, ill make love to you, on bended knee, water runs dry, ill make love to you, thank you, 4 seasons of loneliness, a song for mama, 4 seasons of loneliness",1991,1998,,
boz scaggs,0,2,3,0,0,0,"lowdown, lido shuffle, jojo, breakdown dead ahead, miss sun",1976,1981,male,American_male_guitarists
brad paisley,0,0,0,0,1,0,then,2009,2009,male,American_country_singers
brad paisley and carrie underwood,0,0,0,0,0,1,remind me,2011,2011,both,
brandy,0,0,0,8,2,0,"i wanna be down, baby, i wanna be down, brokenhearted, best friend, sittin up in my room, have you ever, almost doesnt count, what about us, full moon",1994,2002,,
brandy and monica,0,0,0,1,0,0,the boy is mine,1998,1998,,
brantley gilbert,0,0,0,0,0,1,bottoms up,2014,2014,male,American_country_singers
bread,0,4,0,0,0,0,"make it with you, if, everything i own, lost without your love",1970,1977,,
breakfast club,0,0,1,0,0,0,right on track,1987,1987,,
breathe,0,0,2,0,0,0,"hands to heaven, how can i fall",1988,1989,male,
brenda  the tabulations,0,1,0,0,0,0,right on the tip of my tongue,1971,1971,,
brenda k starr,0,0,1,0,0,0,i still believe,1988,1988,,
brenda lee,2,0,0,0,0,0,"too many rivers, coming on strong",1965,1966,female,American_female_country_singers
brenda russell,0,0,1,0,0,0,piano in the dark,1988,1988,female,African-American_female_singer-songwriters
brenton wood,1,0,0,0,0,0,gimme little sign,1967,1967,male,American_male_singers
brewer  shipley,0,1,0,0,0,0,one toke over the line,1971,1971,,
brian mcknight,0,0,0,3,1,0,"one last cry, you should be mine dont waste your time, back at one, back at one",1993,2000,male,American_male_guitarists
brick,0,1,0,0,0,0,dazz,1977,1977,,
britney spears,0,0,0,2,10,4,"baby one more time, sometimes, oops i did it again, from the bottom of my broken heart, toxic, everytime, womanizer, piece of me, circus, womanizer, if u seek amy, 3, 3, till the world ends, i wanna go, hold it against me",1999,2011,female,American_female_pop_singers
brock and the bizz,0,0,0,1,0,0,my baby daddy,1997,1997,,
brook benton,0,1,0,0,0,0,rainy night in georgia,1970,1970,male,American_crooners
brooke valentine,0,0,0,0,1,0,girlfight,2005,2005,female,African-American_female_singer-songwriters
brooks  dunn,0,0,0,0,2,0,"aint nothing bout you, red dirt road",2001,2003,male,
brownstone,0,0,0,1,0,0,if you love me,1995,1995,female,African-American_female_singers
brownsville station,0,1,0,0,0,0,smokin in the boys room,1974,1974,,
bruce hornsby and the range,0,0,3,0,0,0,"the way it is, mandolin rain, the valley road",1987,1988,,
bruce springsteen,0,0,7,2,0,0,"hungry heart, dancing in the dark, cover me, glory days, im on fire, born in the usa, brilliant disguise, streets of philadelphia, secret garden",1981,1997,male,American_male_guitarists
bruce willis,0,0,1,0,0,0,respect yourself,1987,1987,male,
bruno mars,0,0,0,0,0,8,"just the way you are, grenade, just the way you are, the lazy song, it will rain, when i was your man, locked out of heaven, treasure",2010,2013,male,American_male_singer-songwriters
bryan adams,0,0,5,6,0,0,"straight from the heart, heaven, run to you, summer of 69, heat of the night, everything i do i do it for you, cant stop this thing we started, do i have to say the words, thought id died and gone to heaven, please forgive me, have you ever really loved a woman",1983,1995,male,Canadian_male_singers
bryan adams rod stewart and sting,0,0,0,1,0,0,all for love,1994,1994,,
bt express,0,2,0,0,0,0,"express, do it til youre satisfied",1975,1975,both,
bubba sparxxx,0,0,0,0,1,0,ms new booty,2006,2006,male,American_country_singers
buckcherry,0,0,0,0,1,0,sorry,2008,2008,,
buckner  garcia,0,0,1,0,0,0,pacman fever,1982,1982,,
buffalo springfield,1,0,0,0,0,0,for what its worth,1967,1967,,
burton cummings,0,1,0,0,0,0,stand tall,1977,1977,male,Canadian_male_singers
busta rhymes,0,0,0,4,2,0,"woo hah got you all in check, turn it up remixfire it up, dangerous, whats it gonna be, pass the courvoisier part ii, touch it",1996,2006,male,African-American_male_rappers
busta rhymes and mariah carey,0,0,0,0,1,0,i know what you want,2003,2003,,
bw stevenson,0,1,0,0,0,0,my maria,1973,1973,male,
c w mccall,0,1,0,0,0,0,convoy,1976,1976,,
cah out,0,0,0,0,0,1,cashin out,2012,2012,,
cali swag district,0,0,0,0,0,1,teach me how to dougie,2010,2010,,
calloway,0,0,0,1,0,0,i wanna be rich,1990,1990,,
calvin harris,0,0,0,0,0,5,"feel so close, lets go, sweet nothing, i need your love, summer",2012,2014,male,Scottish_male_singers
calvin harris and disciples,0,0,0,0,0,1,how deep is your love,2015,2015,male,
cameo,0,0,1,0,0,0,word up,1986,1986,,
camron,0,0,0,0,2,0,"oh boy, hey ma",2002,2002,,
